datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2006-12-16 16:00:00,3.6792946,0.116410255,234.07655,15.755129,0.0,3.2564104,16.794872,41.270298
2006-12-16 20:00:00,2.6466916,0.06984166,237.65245,11.345834,0.0,0.15833333,9.608334,34.34486
2006-12-17 00:00:00,2.1203334,0.09928334,242.93558,9.1125,0.0,6.758333,0.0,28.580557
2006-12-17 04:00:00,1.7839583,0.077083334,243.38821,7.5583334,0.0,0.40416667,3.3833334,25.945139
2006-12-17 08:00:00,2.6348834,0.14827499,238.13126,11.2625,4.5833335,8.858334,8.333333,22.13972
2006-12-17 12:00:00,2.1636665,0.20289166,240.55795,9.021667,1.7416667,0.27916667,17.716667,16.323612
2006-12-17 16:00:00,3.334575,0.16499999,234.64493,14.195833,2.1458333,0.2625,16.875,36.292915
2006-12-17 20:00:00,2.0895,0.24915834,240.86426,8.843333,0.0,0.8833333,9.279166,24.6625
2006-12-18 00:00:00,0.29601666,0.12695,245.18742,1.3241667,0.0,0.29583332,0.0,4.637778
2006-12-18 04:00:00,1.0950667,0.116958335,244.3567,4.5725,0.020833334,0.26666668,5.9625,12.001111
2006-12-18 08:00:00,1.6457583,0.08476666,238.53413,6.86,4.4083333,0.25833333,17.429167,5.3334723
2006-12-18 12:00:00,1.7388667,0.09179167,242.28854,7.148333,0.0,0.2625,17.6875,11.031112
2006-12-18 16:00:00,2.2803082,0.145525,238.27687,9.590834,0.0,2.4208333,13.0875,22.496805
2006-12-18 20:00:00,2.1265917,0.10814167,238.7465,9.034166,0.0,7.4166665,4.241667,23.78486
2006-12-19 00:00:00,0.456425,0.08685834,243.53053,1.985,0.0,0.50416666,2.2208333,4.882083
2006-12-19 04:00:00,0.80411667,0.09114167,242.17953,3.4725,0.0,0.39166668,1.85,11.160278
2006-12-19 08:00:00,2.0638916,0.10505,239.58734,8.8275,3.4958334,19.079166,5.0916667,6.731528
2006-12-19 12:00:00,0.36365834,0.103549995,243.81192,1.5891666,0.0,1.1125,0.5541667,4.394305
2006-12-19 16:00:00,1.8826083,0.103083335,240.01036,7.829167,0.0,0.41666666,16.104166,14.855972
2006-12-19 20:00:00,1.371775,0.13924167,242.87617,5.855,0.0,10.170834,0.0,12.692083
2006-12-20 00:00:00,0.45322502,0.098683335,245.33376,1.9216667,0.0,0.4375,2.1583333,4.9579167
2006-12-20 04:00:00,0.59048337,0.108375,244.65454,2.4958334,0.0,0.29583332,1.1666666,8.378889
